>call python -m cProfile -s time d:profile-arcpy-listFC.py

Looking in "X:\Env-dat.081\source\yt_courbe_niveau_imperial.gdb"
         43929 function calls (41929 primitive calls) in 2099.317 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2072.454 2072.454 2072.454 2072.454 {built-in method listfeatureclasses}
     1198    0.001    0.000    0.003    0.000 sre_parse.py:202(get)
       38    0.001    0.000    0.001    0.000 {numpy.core.multiarray.array}
      749    0.001    0.000    0.001    0.000 {getattr}
6106/5909    0.001    0.000    0.001    0.000 {len}
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.001    0.001    0.001    0.001 na.py:21(<module>)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.215    0.215 _management.py:14(<module>)
      346    0.001    0.000    0.001    0.000 {hasattr}
        1    0.001    0.001    0.001    0.001 {__import__}
      141    0.001    0.000    0.008    0.000 sre_compile.py:179(_compile_charset)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
        1    0.001    0.001    0.026    0.026 ga.py:21(<module>)
  252/245    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      181    0.001    0.000    0.001    0.000 CompoundParameter.py:84(_addProperty)
        1    0.001    0.001    0.002    0.002 main.py:1(<module>)
       28    0.001    0.000    0.034    0.001 re.py:226(_compile)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:2(<module>)
      329    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
    426/2    0.001    0.000    0.001    0.001 arcobjectconversion.py:68(convertArcObjectToPythonObject)
       68    0.001    0.000    0.001    0.000 inspect.py:743(getargs)
        1    0.001    0.001    0.001    0.001 ctypeslib.py:51(<module>)
  501/121    0.000    0.000    0.000    0.000 time.py:263(crossproduct)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {time.time}
       71    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      982    0.000    0.000    0.001    0.000 sre_parse.py:196(match)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _na.py:14(<module>)
      159    0.000    0.000    0.001    0.000 sre_compile.py:355(_simple)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
      402    0.000    0.000    0.000    0.000 inspect.py:837(strseq)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       87    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       16    0.000    0.000    0.023    0.001 {map}
      866    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       71    0.000    0.000    0.001    0.000 functools.py:17(update_wrapper)
      772    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
        1    0.000    0.000    0.000    0.000 Utils.py:17(<module>)
      373    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
       26    0.000    0.000    0.003    0.000 sre_compile.py:362(_compile_info)
      551    0.000    0.000    0.000    0.000 sre_parse.py:139(append)
      117    0.000    0.000    0.001    0.000 ntpath.py:63(join)
        2    0.000    0.000    0.000    0.000 {nt.listdir}
       68    0.000    0.000    0.001    0.000 inspect.py:803(getargspec)
        1    0.000    0.000    2.713    2.713 _base.py:547(__init__)
      758    0.000    0.000    0.000    0.000 _base.py:508(gptooldoc)
       26    0.000    0.000    0.015    0.001 sre_parse.py:676(parse)
       26    0.000    0.000    0.033    0.001 sre_compile.py:496(compile)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
       47    0.000    0.000    0.003    0.000 genericpath.py:15(exists)
       49    0.000    0.000    0.000    0.000 _base.py:529(propfactory)
        1    0.000    0.000    0.003    0.003 mapping.py:15(<module>)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:32(find_msvcrt)
        3    0.000    0.000    0.000    0.000 numeric.py:207(extend_all)
       39    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 geometries.py:15(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
      159    0.000    0.000    0.000    0.000 {range}
      389    0.000    0.000    0.000    0.000 collections.py:323(<genexpr>)
        1    0.000    0.000    0.000    0.000 arc.py:18(<module>)
       42    0.000    0.000    0.003    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 arcobjectconversion.py:15(<module>)
      267    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:191(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:302(_add_aliases)
      882    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.004    0.002 util.py:49(find_library)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
       22    0.000    0.000    0.000    0.000 time.py:240(FixDTString)
        8    0.000    0.000    0.003    0.000 utils.py:212(maskmethods)
       84    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 cp850.py:3(<module>)
      276    0.000    0.000    0.000    0.000 inspect.py:848(<lambda>)
       88    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
     52/2    0.000    0.000    0.007    0.004 glob.py:29(iglob)
