Looking in "D:\s\yt_courbe_niveau_imperial.gdb" 
Feature classes found: 424
         43925 function calls (41924 primitive calls) in 27.475 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.006    0.006 __init__.py:38(<module>)
        1    0.002    0.002    0.003    0.003 result.py:1(<module>)
        1    0.002    0.002    0.010    0.010 uuid.py:45(<module>)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
     1470    0.002    0.000    0.002    0.000 sre_parse.py:183(__next)
  530/185    0.002    0.000    0.002    0.000 sre_parse.py:141(getwidth)
        1    0.002    0.002    0.008    0.008 index_tricks.py:1(<module>)
        2    0.002    0.001    0.005    0.002 function_base.py:1(<module>)
       33    0.002    0.000    0.002    0.000 sre_compile.py:259(_mk_bitmap)
        1    0.002    0.002    0.003    0.003 arraysetops.py:25(<module>)
     4014    0.002    0.000    0.002    0.000 {isinstance}
        1    0.002    0.002    0.006    0.006 _datasource.py:33(<module>)
       68    0.001    0.000    0.006    0.000 utils.py:106(maskargs)
        1    0.001    0.001    0.022    0.022 arcobjects.py:15(<module>)
     1623    0.001    0.000    0.002    0.000 sre_parse.py:131(__getitem__)
      340    0.001    0.000    0.001    0.000 _base.py:70(passthrough_attr)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
        1    0.001    0.001    0.046    0.046 _mapping.py:15(<module>)
       83    0.001    0.000    0.001    0.000 _base.py:17(_add_attr)
        2    0.001    0.001    0.002    0.001 fnmatch.py:45(filter)
        1    0.001    0.001    0.006    0.006 Functions.py:17(<module>)
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
        1    0.001    0.001    0.021    0.021 tokenize.py:23(<module>)
        1    0.001    0.001    0.155    0.155 management.py:17(<module>)
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
        1    0.001    0.001    0.001    0.001 glob.py:1(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:44(<module>)
        1    0.001    0.001    0.002    0.002 decorators.py:15(<module>)
        1    0.001    0.001    0.005    0.005 _internal.py:4(<module>)
        1    0.001    0.001    0.001    0.001 utils.py:3(<module>)
        1    0.001    0.001    0.001    0.001 {arcgisscripting.getsystemtoolboxespaths}
        1    0.001    0.001    0.040    0.040 type_check.py:3(<module>)
      758    0.001    0.000    0.001    0.000 _base.py:511(_params)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
     6107    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.072    0.072 ddd.py:19(<module>)
        1    0.001    0.001    0.078    0.078 add_newdocs.py:9(<module>)
        1    0.001    0.001    5.564    5.564 __init__.py:14(<module>)
       68    0.001    0.000    0.002    0.000 inspect.py:844(formatargspec)
    90/26    0.001    0.000    0.013    0.000 sre_parse.py:302(_parse_sub)
        1    0.001    0.001    0.046    0.046 arcobjectconversion.py:19(initialize_conversion_mapping)
     1198    0.001    0.000    0.003    0.000 sre_parse.py:202(get)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
        1    0.001    0.001    0.004    0.004 time.py:15(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
      642    0.001    0.000    0.001    0.000 string.py:158(convert)
6110/5913    0.001    0.000    0.001    0.000 {len}
        1    0.001    0.001    0.003    0.003 polynomial.py:3(<module>)
       38    0.001    0.000    0.001    0.000 {numpy.core.multiarray.array}
        1    0.001    0.001    0.001    0.001 fftpack.py:32(<module>)
      749    0.001    0.000    0.001    0.000 {getattr}
      345    0.001    0.000    0.001    0.000 {hasattr}
      141    0.001    0.000    0.007    0.000 sre_compile.py:179(_compile_charset)
        1    0.001    0.001    0.001    0.001 _base.py:15(<module>)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.153    0.153 _management.py:14(<module>)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
      181    0.001    0.000    0.001    0.000 CompoundParameter.py:84(_addProperty)
        1    0.001    0.001    0.001    0.001 na.py:21(<module>)
        1    0.001    0.001    0.025    0.025 ga.py:21(<module>)
  501/121    0.000    0.000    0.000    0.000 time.py:263(crossproduct)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
    426/2    0.000    0.000    0.001    0.001 arcobjectconversion.py:68(convertArcObjectToPythonObject)
        1    0.000    0.000    0.001    0.001 CompoundParameter.py:17(<module>)
      329    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       68    0.000    0.000    0.001    0.000 inspect.py:743(getargs)
      119    0.000    0.000    0.001    0.000 ntpath.py:63(join)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
      982    0.000    0.000    0.001    0.000 sre_parse.py:196(match)
       70    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
